13107	13107	39321
11650	16019	42233
10194	18932	45146
8738	21845	48059
7281	24757	50971
5825	27670	53884
4369	30583	56797
2912	33495	59709
1456	36408	62622
0	39321	65535
0	39321	65535
0	42597	55377
0	45874	45219
0	49151	35061
0	52428	24904
0	52428	24903
2730	52974	25503
5461	53520	26104
8191	54066	26705
10922	54612	27305
13653	55158	27906
16383	55704	28507
19114	56250	29107
21845	56797	29708
24575	57343	30309
27306	57889	30910
30036	58435	31510
32767	58981	32111
35498	59527	32712
38228	60073	33312
40959	60619	33913
43690	61166	34514
46420	61712	35115
49151	62258	35715
51881	62804	36316
54612	63350	36917
57343	63896	37517
60073	64442	38118
62804	64988	38719
65535	65535	39320
65535	65535	39321
63948	63327	38320
62361	61120	37320
60775	58912	36320
59188	56705	35319
57601	54497	34319
56015	52290	33319
54428	50082	32319
52841	47875	31318
51255	45667	30318
49668	43460	29318
48082	41252	28318
46495	39045	27317
44908	36837	26317
43322	34630	25317
41735	32422	24317
40148	30215	23316
38562	28007	22316
36975	25800	21316
35389	23593	20316
35388	23592	20315
36160	24667	21474
36933	25742	22633
37706	26818	23793
38479	27893	24952
39252	28969	26112
40025	30044	27271
40798	31120	28431
41571	32195	29590
42344	33270	30750
43117	34346	31909
43890	35421	33069
44663	36497	34228
45436	37572	35388
46209	38648	36547
46982	39723	37706
47755	40798	38866
48528	41874	40025
49301	42949	41185
50074	44025	42344
50847	45100	43504
51620	46176	44663
52393	47251	45823
53166	48327	46982
53939	49402	48142
54712	50477	49301
55485	51553	50461
56258	52628	51620
57031	53704	52779
57804	54779	53939
58577	55855	55098
59350	56930	56258
60123	58005	57417
60896	59081	58577
61669	60156	59736
62442	61232	60896
63215	62307	62055
63988	63383	63215
64761	64458	64374
65534	65534	65534
